title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,28.6
Climate and Health,Obesity (adults),East New York,25
Climate and Health,Obesity (adults),Sunset Park,24.7
Climate and Health,Obesity (adults),Borough Park,18.9
Climate and Health,Obesity (adults),East Flatbush - Flatbush,26.8
Climate and Health,Obesity (adults),Canarsie - Flatlands,30.3
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,18.4
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,22.4
Climate and Health,Obesity (adults),Williamsburg - Bushwick,30.6
Climate and Health,Obesity (adults),Washington Heights,20.6
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,23.7
Climate and Health,Obesity (adults),East Harlem,20.9
Climate and Health,Obesity (adults),Upper West Side,13.4
Climate and Health,Obesity (adults),Upper East Side,9.4
Climate and Health,Obesity (adults),Chelsea - Clinton,9.1
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,9.4
Climate and Health,Obesity (adults),Greenwich Village - SoHo,9.1
Climate and Health,Obesity (adults),Union Square - Lower East Side,13.3
Climate and Health,Obesity (adults),Lower Manhattan,13.3
Climate and Health,Obesity (adults),Long Island City - Astoria,24.1
Climate and Health,Obesity (adults),West Queens,14.7
Climate and Health,Obesity (adults),Flushing - Clearview,14.9
Climate and Health,Obesity (adults),Bayside - Little Neck,21.5
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,15.1
Climate and Health,Obesity (adults),Fresh Meadows,21.5
Climate and Health,Obesity (adults),Southwest Queens,25.1
Climate and Health,Obesity (adults),Jamaica,24.3
Climate and Health,Obesity (adults),Southeast Queens,23
Climate and Health,Obesity (adults),Rockaways,23.4
Climate and Health,Obesity (adults),Port Richmond,26.8
Climate and Health,Obesity (adults),Stapleton - St. George,26.8
Climate and Health,Obesity (adults),Willowbrook,20.1
Climate and Health,Obesity (adults),South Beach - Tottenville,20.1
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,16.5
Climate and Health,Obesity (adults),Northeast Bronx,33.3
Climate and Health,Obesity (adults),Fordham - Bronx Pk,32
Climate and Health,Obesity (adults),Pelham - Throgs Neck,27.7
Climate and Health,Obesity (adults),Crotona -Tremont,33.2
Climate and Health,Obesity (adults),High Bridge - Morrisania,33.2
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,33.2
Climate and Health,Obesity (adults),Greenpoint,28.4
Climate and Health,Obesity (adults),Downtown - Heights - Slope,17.5
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,30.1
Climate and Health,Obesity (adults),East New York,29.2
Climate and Health,Obesity (adults),Sunset Park,19
Climate and Health,Obesity (adults),Borough Park,23.9
Climate and Health,Obesity (adults),East Flatbush - Flatbush,24.2
Climate and Health,Obesity (adults),Canarsie - Flatlands,27.6
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,18.9
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,19.7
Climate and Health,Obesity (adults),Williamsburg - Bushwick,27.8
Climate and Health,Obesity (adults),Washington Heights,20.3
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,27.1
Climate and Health,Obesity (adults),East Harlem,33.5
Climate and Health,Obesity (adults),Upper West Side,15.6
Climate and Health,Obesity (adults),Upper East Side,8
Climate and Health,Obesity (adults),Chelsea - Clinton,7.1
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,8
Climate and Health,Obesity (adults),Greenwich Village - SoHo,7.1
Climate and Health,Obesity (adults),Union Square - Lower East Side,10.2
Climate and Health,Obesity (adults),Lower Manhattan,10.2
Climate and Health,Obesity (adults),Long Island City - Astoria,20.7
Climate and Health,Obesity (adults),West Queens,17.7
Climate and Health,Obesity (adults),Flushing - Clearview,12.2
Climate and Health,Obesity (adults),Bayside - Little Neck,20.6
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,22.9
Climate and Health,Obesity (adults),Fresh Meadows,20.6
Climate and Health,Obesity (adults),Southwest Queens,16
Climate and Health,Obesity (adults),Jamaica,27.1
Climate and Health,Obesity (adults),Southeast Queens,18.4
Climate and Health,Obesity (adults),Rockaways,38.7
Climate and Health,Obesity (adults),Port Richmond,31.3
Climate and Health,Obesity (adults),Stapleton - St. George,31.3
Climate and Health,Obesity (adults),Willowbrook,21
Climate and Health,Obesity (adults),South Beach - Tottenville,21
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,20.1
Climate and Health,Obesity (adults),Northeast Bronx,30.5
Climate and Health,Obesity (adults),Fordham - Bronx Pk,24.6
Climate and Health,Obesity (adults),Pelham - Throgs Neck,26.5
Climate and Health,Obesity (adults),Crotona -Tremont,33.8
Climate and Health,Obesity (adults),High Bridge - Morrisania,33.8
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,33.8
Climate and Health,Obesity (adults),Greenpoint,24.3
Climate and Health,Obesity (adults),Downtown - Heights - Slope,18
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,29.4
Climate and Health,Obesity (adults),East New York,35.3
Climate and Health,Obesity (adults),Sunset Park,27.8
Climate and Health,Obesity (adults),Borough Park,24.4
Climate and Health,Obesity (adults),East Flatbush - Flatbush,18.4
Climate and Health,Obesity (adults),Canarsie - Flatlands,24.7
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,24.2
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,22.6
Climate and Health,Obesity (adults),Williamsburg - Bushwick,30.3
Climate and Health,Obesity (adults),Washington Heights,29.5
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,26.8
Climate and Health,Obesity (adults),East Harlem,34.5
Climate and Health,Obesity (adults),Upper West Side,8.3
Climate and Health,Obesity (adults),Upper East Side,10.7
Climate and Health,Obesity (adults),Chelsea - Clinton,10.4
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,10.7
Climate and Health,Obesity (adults),Greenwich Village - SoHo,10.4
Climate and Health,Obesity (adults),Union Square - Lower East Side,10.7
Climate and Health,Obesity (adults),Lower Manhattan,10.7
Climate and Health,Obesity (adults),Long Island City - Astoria,20.4
Climate and Health,Obesity (adults),West Queens,16.5
Climate and Health,Obesity (adults),Flushing - Clearview,20.3
Climate and Health,Obesity (adults),Bayside - Little Neck,19.4
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,19.5
Climate and Health,Obesity (adults),Fresh Meadows,19.4
Climate and Health,Obesity (adults),Southwest Queens,21.9
Climate and Health,Obesity (adults),Jamaica,26.1
Climate and Health,Obesity (adults),Southeast Queens,23.3
Climate and Health,Obesity (adults),Rockaways,29.8
Climate and Health,Obesity (adults),Port Richmond,33.4
Climate and Health,Obesity (adults),Stapleton - St. George,33.4
Climate and Health,Obesity (adults),Willowbrook,23.2
Climate and Health,Obesity (adults),South Beach - Tottenville,23.2
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,18.4
Climate and Health,Obesity (adults),Northeast Bronx,25.2
Climate and Health,Obesity (adults),Fordham - Bronx Pk,29.3
Climate and Health,Obesity (adults),Pelham - Throgs Neck,34.1
Climate and Health,Obesity (adults),Crotona -Tremont,31.2
Climate and Health,Obesity (adults),High Bridge - Morrisania,31.2
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,31.2
Climate and Health,Obesity (adults),Greenpoint,20.1
Climate and Health,Obesity (adults),Downtown - Heights - Slope,13.6
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,26.3
Climate and Health,Obesity (adults),East New York,26.6
Climate and Health,Obesity (adults),Sunset Park,35.5
Climate and Health,Obesity (adults),Borough Park,18.8
Climate and Health,Obesity (adults),East Flatbush - Flatbush,29.8
Climate and Health,Obesity (adults),Canarsie - Flatlands,31.8
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,16.7
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,31.5
Climate and Health,Obesity (adults),Williamsburg - Bushwick,32.1
Climate and Health,Obesity (adults),Washington Heights,26.6
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,36.1
Climate and Health,Obesity (adults),East Harlem,19.7
Climate and Health,Obesity (adults),Upper West Side,9.5
Climate and Health,Obesity (adults),Upper East Side,11.4
Climate and Health,Obesity (adults),Chelsea - Clinton,7.5
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,11.4
Climate and Health,Obesity (adults),Greenwich Village - SoHo,7.5
Climate and Health,Obesity (adults),Union Square - Lower East Side,15.7
Climate and Health,Obesity (adults),Lower Manhattan,15.7
Climate and Health,Obesity (adults),Long Island City - Astoria,16.9
Climate and Health,Obesity (adults),West Queens,18
Climate and Health,Obesity (adults),Flushing - Clearview,18.2
Climate and Health,Obesity (adults),Bayside - Little Neck,18.7
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,23.5
Climate and Health,Obesity (adults),Fresh Meadows,18.7
Climate and Health,Obesity (adults),Southwest Queens,21.8
Climate and Health,Obesity (adults),Jamaica,29.9
Climate and Health,Obesity (adults),Southeast Queens,33.2
Climate and Health,Obesity (adults),Rockaways,29.5
Climate and Health,Obesity (adults),Port Richmond,23.8
Climate and Health,Obesity (adults),Stapleton - St. George,23.8
Climate and Health,Obesity (adults),Willowbrook,23.7
Climate and Health,Obesity (adults),South Beach - Tottenville,23.7
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,20.5
Climate and Health,Obesity (adults),Northeast Bronx,31.2
Climate and Health,Obesity (adults),Fordham - Bronx Pk,37.8
Climate and Health,Obesity (adults),Pelham - Throgs Neck,28.2
Climate and Health,Obesity (adults),Crotona -Tremont,31.1
Climate and Health,Obesity (adults),High Bridge - Morrisania,31.1
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,31.1
Climate and Health,Obesity (adults),Greenpoint,18.3
Climate and Health,Obesity (adults),Downtown - Heights - Slope,13.9
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,40.8
Climate and Health,Obesity (adults),East New York,31
Climate and Health,Obesity (adults),Sunset Park,26
Climate and Health,Obesity (adults),Borough Park,21.2
Climate and Health,Obesity (adults),East Flatbush - Flatbush,26.7
Climate and Health,Obesity (adults),Canarsie - Flatlands,26.6
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,21.5
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,28.2
Climate and Health,Obesity (adults),Williamsburg - Bushwick,33
Climate and Health,Obesity (adults),Washington Heights,14.6
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,22.2
Climate and Health,Obesity (adults),East Harlem,30.9
Climate and Health,Obesity (adults),Upper West Side,20.6
Climate and Health,Obesity (adults),Upper East Side,7.6
Climate and Health,Obesity (adults),Chelsea - Clinton,7
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,7.6
Climate and Health,Obesity (adults),Greenwich Village - SoHo,7
Climate and Health,Obesity (adults),Union Square - Lower East Side,16.2
Climate and Health,Obesity (adults),Lower Manhattan,16.2
Climate and Health,Obesity (adults),Long Island City - Astoria,21.8
Climate and Health,Obesity (adults),West Queens,22.8
Climate and Health,Obesity (adults),Flushing - Clearview,17.6
Climate and Health,Obesity (adults),Bayside - Little Neck,15
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,14
Climate and Health,Obesity (adults),Fresh Meadows,15
Climate and Health,Obesity (adults),Southwest Queens,20.4
Climate and Health,Obesity (adults),Jamaica,27.1
Climate and Health,Obesity (adults),Southeast Queens,31
Climate and Health,Obesity (adults),Rockaways,23.6
Climate and Health,Obesity (adults),Port Richmond,32.7
Climate and Health,Obesity (adults),Stapleton - St. George,32.7
Climate and Health,Obesity (adults),Willowbrook,25.4
Climate and Health,Obesity (adults),South Beach - Tottenville,25.4
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,13.2
Climate and Health,Obesity (adults),Northeast Bronx,36.6
Climate and Health,Obesity (adults),Fordham - Bronx Pk,33.4
Climate and Health,Obesity (adults),Pelham - Throgs Neck,23.3
Climate and Health,Obesity (adults),Crotona -Tremont,32.9
Climate and Health,Obesity (adults),High Bridge - Morrisania,32.9
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,32.9
Climate and Health,Obesity (adults),Greenpoint,23.4
Climate and Health,Obesity (adults),Downtown - Heights - Slope,10.8
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,36.7
Climate and Health,Obesity (adults),East New York,33.5
Climate and Health,Obesity (adults),Sunset Park,18
Climate and Health,Obesity (adults),Borough Park,33.5
Climate and Health,Obesity (adults),East Flatbush - Flatbush,25.2
Climate and Health,Obesity (adults),Canarsie - Flatlands,26.1
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,16.1
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,26.1
Climate and Health,Obesity (adults),Williamsburg - Bushwick,34.6
Climate and Health,Obesity (adults),Washington Heights,20.1
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,24.4
Climate and Health,Obesity (adults),East Harlem,29.2
Climate and Health,Obesity (adults),Upper West Side,8.1
Climate and Health,Obesity (adults),Upper East Side,12
Climate and Health,Obesity (adults),Chelsea - Clinton,9.7
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,12
Climate and Health,Obesity (adults),Greenwich Village - SoHo,9.7
Climate and Health,Obesity (adults),Union Square - Lower East Side,11.1
Climate and Health,Obesity (adults),Lower Manhattan,11.1
Climate and Health,Obesity (adults),Long Island City - Astoria,30.5
Climate and Health,Obesity (adults),West Queens,21.2
Climate and Health,Obesity (adults),Flushing - Clearview,20.4
Climate and Health,Obesity (adults),Bayside - Little Neck,17.4
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,18.1
Climate and Health,Obesity (adults),Fresh Meadows,17.4
Climate and Health,Obesity (adults),Southwest Queens,29
Climate and Health,Obesity (adults),Jamaica,23.9
Climate and Health,Obesity (adults),Southeast Queens,21.3
Climate and Health,Obesity (adults),Rockaways,23.5
Climate and Health,Obesity (adults),Port Richmond,33.3
Climate and Health,Obesity (adults),Stapleton - St. George,33.3
Climate and Health,Obesity (adults),Willowbrook,24.7
Climate and Health,Obesity (adults),South Beach - Tottenville,24.7
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,18.4
Climate and Health,Obesity (adults),Northeast Bronx,36.6
Climate and Health,Obesity (adults),Fordham - Bronx Pk,37.3
Climate and Health,Obesity (adults),Pelham - Throgs Neck,32.8
Climate and Health,Obesity (adults),Crotona -Tremont,30.1
Climate and Health,Obesity (adults),High Bridge - Morrisania,30.1
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,30.1
Climate and Health,Obesity (adults),Greenpoint,24.2
Climate and Health,Obesity (adults),Downtown - Heights - Slope,13.6
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,27.4
Climate and Health,Obesity (adults),East New York,37
Climate and Health,Obesity (adults),Sunset Park,23.4
Climate and Health,Obesity (adults),Borough Park,24.4
Climate and Health,Obesity (adults),East Flatbush - Flatbush,27.4
Climate and Health,Obesity (adults),Canarsie - Flatlands,31.7
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,22.7
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,33.3
Climate and Health,Obesity (adults),Williamsburg - Bushwick,29.1
Climate and Health,Obesity (adults),Washington Heights,21.8
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,30.8
Climate and Health,Obesity (adults),East Harlem,25.8
Climate and Health,Obesity (adults),Upper West Side,18.3
Climate and Health,Obesity (adults),Upper East Side,8.9
Climate and Health,Obesity (adults),Chelsea - Clinton,7.6
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,8.9
Climate and Health,Obesity (adults),Greenwich Village - SoHo,7.6
Climate and Health,Obesity (adults),Union Square - Lower East Side,7.9
Climate and Health,Obesity (adults),Lower Manhattan,7.9
Climate and Health,Obesity (adults),Long Island City - Astoria,23.8
Climate and Health,Obesity (adults),West Queens,23.6
Climate and Health,Obesity (adults),Flushing - Clearview,17.6
Climate and Health,Obesity (adults),Bayside - Little Neck,14.2
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,17
Climate and Health,Obesity (adults),Fresh Meadows,14.2
Climate and Health,Obesity (adults),Southwest Queens,25.5
Climate and Health,Obesity (adults),Jamaica,26.7
Climate and Health,Obesity (adults),Southeast Queens,25.8
Climate and Health,Obesity (adults),Rockaways,35.2
Climate and Health,Obesity (adults),Port Richmond,34.7
Climate and Health,Obesity (adults),Stapleton - St. George,34.7
Climate and Health,Obesity (adults),Willowbrook,31.5
Climate and Health,Obesity (adults),South Beach - Tottenville,31.5
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,24.5
Climate and Health,Obesity (adults),Northeast Bronx,31.3
Climate and Health,Obesity (adults),Fordham - Bronx Pk,24.5
Climate and Health,Obesity (adults),Pelham - Throgs Neck,34.8
Climate and Health,Obesity (adults),Crotona -Tremont,34.1
Climate and Health,Obesity (adults),High Bridge - Morrisania,34.1
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,34.1
Climate and Health,Obesity (adults),Greenpoint,15.7
Climate and Health,Obesity (adults),Downtown - Heights - Slope,17
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,28.6
Climate and Health,Obesity (adults),East New York,24.2
Climate and Health,Obesity (adults),Sunset Park,20.7
Climate and Health,Obesity (adults),Borough Park,30
Climate and Health,Obesity (adults),East Flatbush - Flatbush,28.8
Climate and Health,Obesity (adults),Canarsie - Flatlands,42
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,23.6
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,32.7
Climate and Health,Obesity (adults),Williamsburg - Bushwick,25.1
Climate and Health,Obesity (adults),Washington Heights,24
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,26.2
Climate and Health,Obesity (adults),East Harlem,37.8
Climate and Health,Obesity (adults),Upper West Side,11.6
Climate and Health,Obesity (adults),Upper East Side,9.8
Climate and Health,Obesity (adults),Chelsea - Clinton,10.6
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,9.8
Climate and Health,Obesity (adults),Greenwich Village - SoHo,10.6
Climate and Health,Obesity (adults),Union Square - Lower East Side,13.2
Climate and Health,Obesity (adults),Lower Manhattan,13.2
Climate and Health,Obesity (adults),Long Island City - Astoria,15.1
Climate and Health,Obesity (adults),West Queens,22.6
Climate and Health,Obesity (adults),Flushing - Clearview,11.5
Climate and Health,Obesity (adults),Bayside - Little Neck,13.5
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,14.1
Climate and Health,Obesity (adults),Fresh Meadows,13.5
Climate and Health,Obesity (adults),Southwest Queens,23.4
Climate and Health,Obesity (adults),Jamaica,23.6
Climate and Health,Obesity (adults),Southeast Queens,22.7
Climate and Health,Obesity (adults),Rockaways,27.7
Climate and Health,Obesity (adults),Port Richmond,29.5
Climate and Health,Obesity (adults),Stapleton - St. George,29.5
Climate and Health,Obesity (adults),Willowbrook,30
Climate and Health,Obesity (adults),South Beach - Tottenville,30
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,27.9
Climate and Health,Obesity (adults),Northeast Bronx,24.6
Climate and Health,Obesity (adults),Fordham - Bronx Pk,29.6
Climate and Health,Obesity (adults),Pelham - Throgs Neck,34
Climate and Health,Obesity (adults),Crotona -Tremont,30.5
Climate and Health,Obesity (adults),High Bridge - Morrisania,30.5
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,30.5
Climate and Health,Obesity (adults),Greenpoint,16.1
Climate and Health,Obesity (adults),Downtown - Heights - Slope,17.5
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,30.9
Climate and Health,Obesity (adults),East New York,31.3
Climate and Health,Obesity (adults),Sunset Park,19.1
Climate and Health,Obesity (adults),Borough Park,22.6
Climate and Health,Obesity (adults),East Flatbush - Flatbush,30.8
Climate and Health,Obesity (adults),Canarsie - Flatlands,30.5
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,21
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,31.1
Climate and Health,Obesity (adults),Williamsburg - Bushwick,31.7
Climate and Health,Obesity (adults),Washington Heights,23.3
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,34.3
Climate and Health,Obesity (adults),East Harlem,34.9
Climate and Health,Obesity (adults),Upper West Side,14.5
Climate and Health,Obesity (adults),Upper East Side,11.8
Climate and Health,Obesity (adults),Chelsea - Clinton,11.7
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,11.8
Climate and Health,Obesity (adults),Greenwich Village - SoHo,11.7
Climate and Health,Obesity (adults),Union Square - Lower East Side,13
Climate and Health,Obesity (adults),Lower Manhattan,13
Climate and Health,Obesity (adults),Long Island City - Astoria,26.7
Climate and Health,Obesity (adults),West Queens,23.4
Climate and Health,Obesity (adults),Flushing - Clearview,15
Climate and Health,Obesity (adults),Bayside - Little Neck,27.1
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,19
Climate and Health,Obesity (adults),Fresh Meadows,27.1
Climate and Health,Obesity (adults),Southwest Queens,30.7
Climate and Health,Obesity (adults),Jamaica,30.2
Climate and Health,Obesity (adults),Southeast Queens,20.7
Climate and Health,Obesity (adults),Rockaways,26
Climate and Health,Obesity (adults),Port Richmond,28.9
Climate and Health,Obesity (adults),Stapleton - St. George,28.9
Climate and Health,Obesity (adults),Willowbrook,31
Climate and Health,Obesity (adults),South Beach - Tottenville,31
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,32.5
Climate and Health,Obesity (adults),Northeast Bronx,27.3
Climate and Health,Obesity (adults),Fordham - Bronx Pk,30.1
Climate and Health,Obesity (adults),Pelham - Throgs Neck,29.4
Climate and Health,Obesity (adults),Crotona -Tremont,33.9
Climate and Health,Obesity (adults),High Bridge - Morrisania,33.9
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,33.9
Climate and Health,Obesity (adults),Greenpoint,24.9
Climate and Health,Obesity (adults),Downtown - Heights - Slope,15.4
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,36
Climate and Health,Obesity (adults),East New York,35.4
Climate and Health,Obesity (adults),Sunset Park,21.2
Climate and Health,Obesity (adults),Borough Park,16
Climate and Health,Obesity (adults),East Flatbush - Flatbush,35.8
Climate and Health,Obesity (adults),Canarsie - Flatlands,28.9
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,21.4
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,28.5
Climate and Health,Obesity (adults),Williamsburg - Bushwick,25.8
Climate and Health,Obesity (adults),Washington Heights,25.8
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,31.1
Climate and Health,Obesity (adults),East Harlem,26.2
Climate and Health,Obesity (adults),Upper West Side,7.8
Climate and Health,Obesity (adults),Upper East Side,12.9
Climate and Health,Obesity (adults),Chelsea - Clinton,8.8
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,12.9
Climate and Health,Obesity (adults),Greenwich Village - SoHo,8.8
Climate and Health,Obesity (adults),Union Square - Lower East Side,7.5
Climate and Health,Obesity (adults),Lower Manhattan,7.5
Climate and Health,Obesity (adults),Long Island City - Astoria,23.2
Climate and Health,Obesity (adults),West Queens,22
Climate and Health,Obesity (adults),Flushing - Clearview,17.7
Climate and Health,Obesity (adults),Bayside - Little Neck,19.3
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,18.1
Climate and Health,Obesity (adults),Fresh Meadows,19.3
Climate and Health,Obesity (adults),Southwest Queens,29.3
Climate and Health,Obesity (adults),Jamaica,30.1
Climate and Health,Obesity (adults),Southeast Queens,25.7
Climate and Health,Obesity (adults),Rockaways,34.2
Climate and Health,Obesity (adults),Port Richmond,23.6
Climate and Health,Obesity (adults),Stapleton - St. George,23.6
Climate and Health,Obesity (adults),Willowbrook,26.2
Climate and Health,Obesity (adults),South Beach - Tottenville,26.2
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,25.2
Climate and Health,Obesity (adults),Northeast Bronx,37.5
Climate and Health,Obesity (adults),Fordham - Bronx Pk,28.5
Climate and Health,Obesity (adults),Pelham - Throgs Neck,29
Climate and Health,Obesity (adults),Crotona -Tremont,38.6
Climate and Health,Obesity (adults),High Bridge - Morrisania,38.6
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,38.6
Climate and Health,Obesity (adults),Greenpoint,13.5
Climate and Health,Obesity (adults),Downtown - Heights - Slope,19
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,32.1
Climate and Health,Obesity (adults),East New York,33.3
Climate and Health,Obesity (adults),Sunset Park,24.4
Climate and Health,Obesity (adults),Borough Park,19.6
Climate and Health,Obesity (adults),East Flatbush - Flatbush,25.9
Climate and Health,Obesity (adults),Canarsie - Flatlands,31.5
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,25.8
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,26.9
Climate and Health,Obesity (adults),Williamsburg - Bushwick,28.2
Climate and Health,Obesity (adults),Washington Heights,27.9
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,29.4
Climate and Health,Obesity (adults),East Harlem,25.2
Climate and Health,Obesity (adults),Upper West Side,11.1
Climate and Health,Obesity (adults),Upper East Side,10.9
Climate and Health,Obesity (adults),Chelsea - Clinton,6.7
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,10.9
Climate and Health,Obesity (adults),Greenwich Village - SoHo,6.7
Climate and Health,Obesity (adults),Union Square - Lower East Side,10.5
Climate and Health,Obesity (adults),Lower Manhattan,10.5
Climate and Health,Obesity (adults),Long Island City - Astoria,19.8
Climate and Health,Obesity (adults),West Queens,17.2
Climate and Health,Obesity (adults),Flushing - Clearview,10.2
Climate and Health,Obesity (adults),Bayside - Little Neck,22.2
Climate and Health,Obesity (adults),Ridgewood - Forest Hills,25.5
Climate and Health,Obesity (adults),Fresh Meadows,22.2
Climate and Health,Obesity (adults),Southwest Queens,22.9
Climate and Health,Obesity (adults),Jamaica,26.7
Climate and Health,Obesity (adults),Southeast Queens,29.5
Climate and Health,Obesity (adults),Rockaways,27.1
Climate and Health,Obesity (adults),Port Richmond,22.1
Climate and Health,Obesity (adults),Stapleton - St. George,22.1
Climate and Health,Obesity (adults),Willowbrook,29.3
Climate and Health,Obesity (adults),South Beach - Tottenville,29.3
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,23.7
Climate and Health,Obesity (adults),Northeast Bronx,27.9
Climate and Health,Obesity (adults),Fordham - Bronx Pk,36.5
Climate and Health,Obesity (adults),Pelham - Throgs Neck,32
Climate and Health,Obesity (adults),Crotona -Tremont,39.1
Climate and Health,Obesity (adults),High Bridge - Morrisania,39.1
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,39.1
Climate and Health,Obesity (adults),Greenpoint,21.1
Climate and Health,Obesity (adults),Downtown - Heights - Slope,21.8
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,36.1
Climate and Health,Obesity (adults),East New York,31.7
Climate and Health,Obesity (adults),Sunset Park,22.5
Climate and Health,Obesity (adults),Borough Park,19.7
Climate and Health,Obesity (adults),East Flatbush - Flatbush,33.9
Climate and Health,Obesity (adults),Canarsie - Flatlands,23.5
Climate and Health,Obesity (adults),Bensonhurst - Bay Ridge,19.5
Climate and Health,Obesity (adults),Coney Island - Sheepshead Bay,26.4
Climate and Health,Obesity (adults),Williamsburg - Bushwick,27.5
Climate and Health,Obesity (adults),Washington Heights,29
Climate and Health,Obesity (adults),Central Harlem - Morningside Heights,24.8
Climate and Health,Obesity (adults),East Harlem,28.6
Climate and Health,Obesity (adults),Upper West Side,13.4
Climate and Health,Obesity (adults),Upper East Side,12.9
Climate and Health,Obesity (adults),Chelsea - Clinton,9
Climate and Health,Obesity (adults),Gramercy Park - Murray Hill,12.9
